FID,OBJECTID,Subbasin,Elev,Lat_dec,Lon_dec
55,56,56,370.000000000000000,-15.839534898700000,-54.277564252900000
56,57,57,300.000000000000000,-15.888452843400000,-54.731300110699998
57,58,58,336.000000000000000,-15.945567970800001,-54.715931585800000
58,59,59,350.000000000000000,-15.913642325900000,-54.366471452500001
59,60,60,646.000000000000000,-15.930415603000000,-54.408474131600002
60,61,61,465.000000000000000,-15.970757747900000,-55.087821310199999
61,62,62,667.000000000000000,-15.878231828000001,-55.167056646200002
62,63,63,638.000000000000000,-15.934802403400001,-55.203733932299997
63,64,64,304.000000000000000,-15.946736246700000,-54.839346725299997
64,65,65,292.000000000000000,-15.926340278400000,-54.974293514999999
65,66,66,468.000000000000000,-15.976171636000000,-55.089178594899998
66,67,67,596.000000000000000,-15.901886601899999,-53.883417881000000
67,68,68,459.000000000000000,-15.973372541400000,-53.845348083399998
68,69,69,443.000000000000000,-15.982324595000000,-55.084428930400001
69,70,70,438.000000000000000,-15.870111358000001,-54.198992994500003
70,71,71,432.000000000000000,-15.900313258400001,-54.116629600300001
71,72,72,436.000000000000000,-15.995826521300000,-55.083145932299999
72,73,73,264.000000000000000,-15.993196920300001,-54.898181471199997
73,74,74,348.000000000000000,-15.984552767200000,-55.029567907800001
74,75,75,354.000000000000000,-15.980677759200001,-53.911253339700004
75,76,76,415.000000000000000,-15.948447067800000,-54.011304069099999
76,77,77,252.000000000000000,-16.003310584000001,-54.928744716200001
77,78,78,520.000000000000000,-16.017579863900000,-55.106972179300001
78,79,79,440.000000000000000,-16.023974797299999,-53.909556808300003
79,80,80,520.000000000000000,-16.012356908200001,-55.133281541199999
80,81,81,355.000000000000000,-16.021057590000002,-54.017945945400001
81,82,82,675.000000000000000,-15.994704467700000,-55.274862509899997
82,83,83,360.000000000000000,-15.972315463899999,-54.608347161200001
83,84,84,278.000000000000000,-16.018530280499998,-54.175696288499999
84,85,85,334.000000000000000,-16.034502569800001,-54.100452739700003
85,86,86,308.000000000000000,-16.023055406699999,-54.947684548799998
86,87,87,229.000000000000000,-16.056784896900002,-54.932213007199998
87,88,88,342.000000000000000,-16.051214251299999,-55.002810670400002
88,89,89,332.000000000000000,-16.003578503300002,-54.505305633399999
89,90,90,423.000000000000000,-16.009741166200001,-54.399652806900001
90,91,91,295.000000000000000,-16.051356702600000,-54.157617525699997
91,92,92,361.000000000000000,-16.075381096000001,-54.439788176599997
92,93,93,264.000000000000000,-16.059516455699999,-54.807183224200003
93,94,94,613.000000000000000,-16.087307633799998,-55.223178146599999
94,95,95,399.000000000000000,-16.017985195800001,-54.234007883200000
95,96,96,365.000000000000000,-16.083465146799998,-54.189866806600001
96,97,97,243.000000000000000,-16.084470221699998,-54.931443547299999
97,98,98,374.000000000000000,-16.104560191299999,-54.146135367500001
98,99,99,361.000000000000000,-16.083912795000000,-54.025249066800001
99,100,100,265.000000000000000,-16.111198351399999,-54.957171080999998
100,101,101,356.000000000000000,-16.004836723299999,-54.297581005399998
101,102,102,322.000000000000000,-16.110285725400001,-54.230435006699999
102,103,103,588.000000000000000,-16.139545696500001,-55.065929364299997
103,104,104,377.000000000000000,-16.115208102299999,-53.970829217300000
104,105,105,347.000000000000000,-16.154414948900001,-54.061136334700002
105,106,106,247.000000000000000,-16.126129523199999,-54.934897877099999
106,107,107,281.000000000000000,-16.138028927800001,-54.889319917800002
107,108,108,281.000000000000000,-16.160544774700000,-54.928877481800001
108,109,109,374.000000000000000,-16.164263301100000,-53.981217105200002
109,110,110,358.000000000000000,-16.109961513100000,-54.613301090699998
110,111,111,329.000000000000000,-16.175323347100001,-54.642885890800002
111,112,112,291.000000000000000,-16.113733936199999,-54.344381056600000
112,113,113,306.000000000000000,-16.149059619599999,-54.264098520799998
113,114,114,584.000000000000000,-16.158321902200001,-55.211172097999999
114,115,115,466.000000000000000,-16.190537370099999,-55.049877871299998
115,116,116,452.000000000000000,-16.121208631399998,-53.877477368900003
116,117,117,392.000000000000000,-16.199726871599999,-53.860471288299998
117,118,118,265.000000000000000,-16.191107704699998,-54.957086242099997
118,119,119,259.000000000000000,-16.198935352600000,-54.296838878800003
119,120,120,341.000000000000000,-16.197723139200001,-54.156658730899998
120,121,121,296.000000000000000,-16.189886036600001,-54.354934726700002
121,122,122,258.000000000000000,-16.246600259099999,-54.262806198299998
122,123,123,209.000000000000000,-16.234163936300000,-54.942205612999999
123,124,124,234.000000000000000,-16.275017846800001,-54.930995212100001
124,125,125,270.000000000000000,-16.190358220699999,-54.859415973099999
125,126,126,337.000000000000000,-16.208675961000001,-54.758019599500003
126,127,127,248.000000000000000,-16.287706993099999,-54.937203599500002
127,128,128,224.000000000000000,-16.253578223800002,-54.868476720499999
128,129,129,261.000000000000000,-16.230686964000000,-54.401478808999997
129,130,130,289.000000000000000,-16.277033800500000,-54.745570672400000
130,131,131,566.000000000000000,-16.250779607700000,-55.145299075600001
131,132,132,286.000000000000000,-16.270226642800001,-54.333288778099998
132,133,133,379.000000000000000,-16.307048894000001,-55.061231984000003
133,134,134,236.000000000000000,-16.307053970199998,-54.897263628300003
134,135,135,228.000000000000000,-16.286666536799999,-55.011487645800003
135,136,136,287.000000000000000,-16.243694633299999,-54.479942146500001
136,137,137,239.000000000000000,-16.299829697600000,-54.375194358900004
137,138,138,341.000000000000000,-16.274671258400002,-54.058095138799999
138,139,139,302.000000000000000,-16.312924794099999,-54.115806596200002
139,140,140,233.000000000000000,-16.320879504899999,-54.389406092700000
140,141,141,334.000000000000000,-16.370603020099999,-54.126029034200002
141,142,142,254.000000000000000,-16.324771820799999,-54.359965482500002
142,143,143,563.000000000000000,-16.299437758200000,-55.197278655799998
143,144,144,440.000000000000000,-16.329247214300000,-55.102949374900000
144,145,145,336.000000000000000,-16.264657196000002,-53.939227291700000
145,146,146,341.000000000000000,-16.344535194500001,-53.866648023600000
146,147,147,283.000000000000000,-16.334287916800001,-54.221378195500002
147,148,148,278.000000000000000,-16.392033588099999,-54.311015796299998
148,149,149,331.000000000000000,-16.224306251200002,-54.566120996000002
149,150,150,295.000000000000000,-16.299900474899999,-54.516663875600003
150,151,151,207.000000000000000,-16.341602416200001,-54.944296018899998
151,152,152,318.000000000000000,-16.368245683500000,-53.934428441199998
152,153,153,244.000000000000000,-16.341763664999998,-54.791243709500002
153,154,154,322.000000000000000,-16.349873610300001,-54.057854646999999
154,155,155,295.000000000000000,-16.362918796199999,-53.989463982300002
155,156,156,262.000000000000000,-16.331691567800000,-54.431596035500000
156,157,157,267.000000000000000,-16.400362760499998,-54.380993527299999
157,158,158,554.000000000000000,-16.309577130800001,-55.249904121699998
158,159,159,399.000000000000000,-16.414666285700001,-54.033015584799998
159,160,160,271.000000000000000,-16.384250169400001,-55.016987927800002
160,161,161,215.000000000000000,-16.401355911000000,-54.913058724999999
161,162,162,341.000000000000000,-16.432150592500001,-53.889899688600003
162,163,163,313.000000000000000,-16.368167935999999,-54.621652873599999
163,164,164,293.000000000000000,-16.390433158400000,-54.670716674099999
164,165,165,226.000000000000000,-16.433406253200001,-54.609447887499996
165,166,166,238.000000000000000,-16.404757026799999,-54.555228162399999
166,167,167,210.000000000000000,-16.419531740899998,-54.836858513700001
167,168,168,192.000000000000000,-16.434101742399999,-54.970904214199997
168,169,169,292.000000000000000,-16.418163528800001,-54.193404221700000
169,170,170,292.000000000000000,-16.446605823100001,-54.134301326699998
170,171,171,194.000000000000000,-16.486050931699999,-54.927298194899997
171,172,172,209.000000000000000,-16.478031171200001,-54.633423960800002
172,173,173,210.000000000000000,-16.457935196899999,-54.621440249700001
173,174,174,208.000000000000000,-16.479609134499999,-54.646331027800002
174,175,175,225.000000000000000,-16.429011693100001,-54.461564956099998
175,176,176,375.000000000000000,-16.534769977400000,-54.877181254200003
176,177,177,251.000000000000000,-16.430299747199999,-54.765823501500002
177,178,178,291.000000000000000,-16.454049628100002,-54.234253648600003
178,179,179,225.000000000000000,-16.488586106200000,-54.604713074400003
179,180,180,195.000000000000000,-16.483256832900000,-54.989792323700001
180,181,181,222.000000000000000,-16.480686795600000,-54.547086026099997
181,182,182,278.000000000000000,-16.495193501700001,-54.181677626400003
182,183,183,356.000000000000000,-16.498621751400002,-53.923002209700002
183,184,184,437.000000000000000,-16.487532404000000,-54.053099719499997
184,185,185,272.000000000000000,-16.480501026199999,-54.360848401399998
185,186,186,222.000000000000000,-16.502377362299999,-54.704243310800003
186,187,187,390.000000000000000,-16.508503961599999,-54.799019860500003
187,188,188,364.000000000000000,-16.581158833000000,-54.672530082700000
188,189,189,397.000000000000000,-16.526510940200001,-53.991265871200000
189,190,190,261.000000000000000,-16.496725317700001,-54.282652135799999
190,191,191,274.000000000000000,-16.525467821100001,-54.180817139399998
191,192,192,245.000000000000000,-16.535988229400001,-54.367872480599999
192,193,193,222.000000000000000,-16.542341916500000,-54.577198897000002
193,194,194,236.000000000000000,-16.543250877500000,-54.432402813099998
194,195,195,338.000000000000000,-16.554817678199999,-54.098319456100000
195,196,196,226.000000000000000,-16.572757381599999,-54.542204774600002
196,197,197,381.000000000000000,-16.557097515300001,-53.913609796800003
197,198,198,397.000000000000000,-16.619747789000002,-54.626607645599996
198,199,199,291.000000000000000,-16.595826815700001,-54.272742023600003
199,200,200,263.000000000000000,-16.601544473699999,-54.472649205600000
200,201,201,402.000000000000000,-16.602303315299999,-54.802983064899998
201,202,202,317.000000000000000,-16.614644531400000,-54.548015926399998
202,203,203,502.000000000000000,-16.589570648799999,-53.845425744099998
203,204,204,544.000000000000000,-16.642767320099999,-53.795942059300003
204,205,205,255.000000000000000,-16.646317191800001,-54.378243181400002
205,206,206,560.000000000000000,-16.659393521599998,-53.921148666299999
206,207,207,409.000000000000000,-16.613444481199998,-54.013945603300002
207,208,208,537.000000000000000,-16.681973267899998,-54.830558578400002
208,209,209,606.000000000000000,-16.705795150899998,-53.983415612100004
209,210,210,443.000000000000000,-16.661582133100001,-54.700698711599998
210,211,211,387.000000000000000,-16.705196430499999,-54.549861804400003
211,212,212,424.000000000000000,-16.713334654699999,-54.619803384000001
212,213,213,275.000000000000000,-16.654083406200002,-54.453880615599999
213,214,214,312.000000000000000,-16.677449497100000,-54.229825417000001
214,215,215,634.000000000000000,-16.720595400699999,-54.045958732599999
215,216,216,437.000000000000000,-16.702704452799999,-54.776984544400001
216,217,217,335.000000000000000,-16.665120648799999,-54.134450115800000
217,218,218,629.000000000000000,-16.695284613599998,-53.866352865000003
218,219,219,648.000000000000000,-16.716333173199999,-53.767520485699997
219,220,220,266.000000000000000,-16.711011310400000,-54.332015604500000
220,221,221,403.000000000000000,-16.735852999399999,-54.745268293099997
221,222,222,268.000000000000000,-16.717957729900000,-54.399299001700001
222,223,223,483.000000000000000,-16.742226378100000,-54.664087289199998
223,224,224,358.000000000000000,-16.757196712799999,-54.243175099299997
224,225,225,285.000000000000000,-16.780274975699999,-54.336166876500002
225,226,226,273.000000000000000,-16.719331255099998,-54.469543879400000
226,227,227,642.000000000000000,-16.736373575999998,-53.839024818100000
227,228,228,575.000000000000000,-16.765046931299999,-53.871621792100001
228,229,229,271.000000000000000,-16.814699247499998,-54.474677603400004
229,230,230,611.000000000000000,-16.775925274100000,-53.938438737200002
230,231,231,735.000000000000000,-16.811572479100001,-54.067649490900003
231,232,232,720.000000000000000,-16.812865144300002,-53.780428878300000
232,233,233,334.000000000000000,-16.807382080800000,-54.597850125199997
233,234,234,682.000000000000000,-16.821119789600001,-53.879040947699998
234,235,235,405.000000000000000,-16.794962933200001,-54.721275597700000
235,236,236,383.000000000000000,-16.843352354600000,-54.759276533900000
236,237,237,693.000000000000000,-16.878300013600001,-53.924969075200003
237,238,238,302.000000000000000,-16.832891809199999,-54.532804737200003
238,239,239,726.000000000000000,-16.877307901100000,-53.982665054899996
239,240,240,726.000000000000000,-16.829473831400001,-54.004131383699999
240,241,241,418.000000000000000,-16.893221608499999,-54.603682807299997
241,242,242,368.000000000000000,-16.842730452900000,-54.210182971599998
242,243,243,451.000000000000000,-16.906644763599999,-54.753763322600001
243,244,244,305.000000000000000,-16.851246574600001,-54.374155294200001
244,245,245,422.000000000000000,-16.911227311000001,-54.672188908599999
245,246,246,299.000000000000000,-16.907359697499999,-54.515815749700003
246,247,247,387.000000000000000,-16.943552714799999,-54.185854449099999
247,248,248,355.000000000000000,-17.000038742099999,-54.478677115399996
248,249,249,309.000000000000000,-16.930747430600000,-54.416962046999998
249,250,250,416.000000000000000,-17.019642086699999,-54.388003302599998
250,251,251,446.000000000000000,-17.002137388900000,-54.307179579299998
251,252,252,478.000000000000000,-16.994380279800001,-54.600597580799999
252,253,253,497.000000000000000,-17.037080235700000,-54.633160902199997
253,254,254,437.000000000000000,-17.022276014700001,-54.703598944100001
254,255,255,485.000000000000000,-16.983160258300000,-54.791990802800001
255,256,256,591.000000000000000,-17.094178915200001,-54.254682556200002
256,257,257,493.000000000000000,-17.079680770300001,-54.555079841700000
257,258,258,554.000000000000000,-17.141022543300000,-54.330226451999998
